Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,27,385",10-01-2022,09/30/2023,Abilene,(325) 677-2474,"$19,45,137.00","$1,87,322.00","$3,14,585.00",$0.00,$0.00,Y,Y,"1,56,035","5,833","45,972","81,156","3,18,878","3,52,242","72,333","1,35,908","1,52,435","4,68,603",Y,70,"37,623","1,46,773","3,114",52
Sergeant Fernando de la Rosa Memorial Library,"31,176",10-01-2022,09/30/2023,Alamo,(956) 787-6160,"$2,34,423.00","$6,198.00","$1,000.00",$0.00,$0.00,Y,Y,"27,327",0,"1,74,377","90,112","2,98,115","23,300","32,435","1,944",728,"4,950",Y,22,"5,375",0,"1,305",29
Shackelford County Library,"3,186",01-01-2023,12/31/2023,Albany,(325) 762-2672,"$21,645.00",$966.00,"$1,500.00",$0.00,$0.00,Y,Y,"11,626",675,"10,098","1,907","25,590","2,339","1,145",794,666,"2,088",Y,9,320,0,"1,641",52
East Parker County Library,"12,617",10-01-2022,09/30/2023,Aledo,(817) 441-6545,"$66,311.00","$2,493.00","$3,903.00",$0.00,$0.00,Y,Y,"23,510","1,066","19,426","14,210","61,062","23,108","7,429","16,674","12,942","74,826",Y,4,0,"2,975","1,698",50
Alicia Salinas Public Library,"24,120",10-01-2022,09/30/2023,Alice,(361) 664-9506,"$6,74,760.00","$50,550.00",$0.00,$0.00,$0.00,Y,Y,"46,082",883,"29,329","4,418","82,196","18,938","12,510","4,626",210,"11,592",Y,15,"3,661",0,"1,992",47
Allen Public Library,"1,11,551",10-01-2022,09/30/2023,Allen,(214) 509-4900,"$29,58,944.00","$1,94,911.00","$1,13,423.00",$0.00,$0.00,Y,Y,"1,29,591","5,692","6,940","3,324","1,58,133","3,28,568","43,728","3,14,771","93,359","12,90,042",Y,18,"12,539","1,73,000","3,155",51
Alpine Public Library,"8,094",01-01-2023,12/31/2023,Alpine,(432) 837-2621,"$1,96,279.00","$7,300.00",$35.00,$0.00,"$4,06,045.00",Y,Y,"25,363",826,"15,037","4,292","47,807","32,049","3,038","22,268",495,"27,484",Y,12,"2,639","1,09,653","2,220",51
Alvarado Public Library,"5,910",10-01-2022,09/30/2023,Alvarado,(817) 783-7323,"$1,27,057.00",$452.00,"$1,500.00",$0.00,$0.00,Y,Y,"22,093","1,282","10,270",865,"39,003","15,338","1,596","6,026",423,"14,720",Y,7,"2,412",0,"2,000",52
Alvord Public Library,"6,238",10-01-2022,09/30/2023,Alvord,(940) 427-2842,"$21,881.00","$3,454.00","$1,000.00",$0.00,$0.00,Y,Y,"10,937",624,"10,009",962,"23,979","1,778","2,393",868,381,"2,127",Y,3,320,831,"1,330",48
Amarillo Public Library,"2,01,291",10-01-2022,09/30/2023,Amarillo,(806) 378-3050,"$31,61,493.00","$2,14,479.00","$91,323.00",$0.00,$0.00,Y,Y,"3,55,712","13,747","21,019","6,233","4,50,159","6,14,712","98,464","6,55,335","24,414","12,81,705",Y,64,"27,990","2,71,140","3,524",52
