Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
East Arlington Branch Library,,,,Arlington,8172753321,,,,,,,,,,,,,,,,,,,,,,2674,52
Northeast Branch Library,,,,Arlington,8172775573,,,,,,,,,,,,,,,,,,,,,,2674,52
Woodland West Branch Library,,,,Arlington,8172775265,,,,,,,,,,,,,,,,,,,,,,2246,52
Lake Arlington Branch Library,,,,Arlington,8174783762,,,,,,,,,,,,,,,,,,,,,,2674,52
Southeast Branch Library,,,,Arlington,8174596395,,,,,,,,,,,,,,,,,,,,,,2854,52
Southwest Branch Library,,,,Arlington,8174596386,,,,,,,,,,,,,,,,,,,,,,2674,52
Stonewall County Library,"1,350",10-01-2019,09/30/2020,Aspermont,9409892730,"$25,417","$3,844","$1,500",$0,"$45,492",Yes,Yes,"15,588",576,"15,561","3,003","34,919","1,563",936,813,"2,458","3,368",Yes,4,230,0,"1,104",46
Henderson County Clint W Murchison Memorial Library,"23,299",01-01-2020,12/31/2020,Athens,9036777295,"$217,655","$26,962","$6,000","$12,000","$291,932",Yes,Yes,"36,981","1,545","28,843","6,063","74,086","13,585","12,014","17,609","13,319","40,045",Yes,8,"2,692","8,315","1,387",41
Atlanta Public Library,"5,472",10-01-2019,09/30/2020,Atlanta,9037962112,"$178,634","$24,345","$1,000","$305,450","$311,463",Yes,Yes,"22,105","1,920","33,344","6,220","64,636","31,460","4,859","36,787","3,932","48,830",Yes,7,"3,158",0,"1,884",45
Austin Public Library,"9,78,908",10-01-2019,09/30/2020,Austin,5129747400,"$34,202,347","$1,135,909","$4,001,504","$52,548,821","$53,684,775",Yes,Yes,"9,21,536","98,179","1,83,642","1,39,122","14,95,925","15,64,216","7,92,764","14,53,548","20,08,559","53,31,902",Yes,768,"2,14,229","2,07,72,737","1,656",24
Austin History Center Library,,,,Austin,5129747480,,,,,,,,,,,,,,,,,,,,,,2392,52
Carver Branch Library,,,,Austin,5129741010,,,,,,,,,,,,,,,,,,,,,,2912,52
Milwood Branch Library,,,,Austin,5129749880,,,,,,,,,,,,,,,,,,,,,,2912,52
Will Hampton Branch at Oak Hill,,,,Austin,5129749900,,,,,,,,,,,,,,,,,,,,,,2912,52
Eustasio Cepeda Branch Library,,,,Austin,5129747372,,,,,,,,,,,,,,,,,,,,,,2912,52
Howson Branch Library,,,,Austin,5129748800,,,,,,,,,,,,,,,,,,,,,,2912,52
Little Walnut Creek Branch Library,,,,Austin,5129749860,,,,,,,,,,,,,,,,,,,,,,3120,52
Manchaca Road Branch Library,,,,Austin,5129748700,,,,,,,,,,,,,,,,,,,,,,3120,52
Ralph W Yarborough Branch Library,,,,Austin,5129748820,,,,,,,,,,,,,,,,,,,,,,3120,52
St John Branch Library,,,,Austin,5129747570,,,,,,,,,,,,,,,,,,,,,,2912,52
North Village Branch Library,,,,Austin,5129749960,,,,,,,,,,,,,,,,,,,,,,2912,52
Willie Mae Kirk Branch Library,,,,Austin,5129749920,,,,,,,,,,,,,,,,,,,,,,2912,52
Old Quarry Branch Library,,,,Austin,5129748860,,,,,,,,,,,,,,,,,,,,,,2912,52
Pleasant Hill Branch Library,,,,Austin,5129743940,,,,,,,,,,,,,,,,,,,,,,2912,52
Daniel E Ruiz Branch Library,,,,Austin,5129747487,,,,,,,,,,,,,,,,,,,,,,3120,52
Spicewood Springs Branch Library,,,,Austin,5129743800,,,,,,,,,,,,,,,,,,,,,,2912,52
Terrazas Branch Library,,,,Austin,5129743625,,,,,,,,,,,,,,,,,,,,,,2912,52
Twin Oaks Branch Library,,,,Austin,5129749980,,,,,,,,,,,,,,,,,,,,,,2912,52
University Hills Branch Library,,,,Austin,5129749940,,,,,,,,,,,,,,,,,,,,,,2912,52
APL Bookmobile,,,,Austin,5129747368,,,,,,,,,,,,,,,,,,,,,,0,0
Windsor Park Branch Library,,,,Austin,5129749840,,,,,,,,,,,,,,,,,,,,,,2912,52
Southeast Austin Community Branch Library,,,,Austin,5129748840,,,,,,,,,,,,,,,,,,,,,,2912,52
Azle Memorial Library,"18,418",10-01-2019,09/30/2020,Azle,8177522682,"$513,716","$29,809","$9,867","$795,194","$802,766",Yes,Yes,"43,949","2,083","21,543","8,693","83,981","51,058","16,812","59,555","19,443","1,22,708",Yes,42,"5,568",0,"1,107",40
Carnegie Library of Ballinger,"5,318",01-01-2020,12/31/2020,Ballinger,3253653616,"$37,187","$3,542",$0,"$10,000","$54,372",Yes,Yes,"12,021",695,"6,295",125,"20,225","3,074","4,757","10,239",0,"14,027",Yes,5,642,0,"1,449",46
Bandera County Library,"7,651",10-01-2019,09/30/2020,Bandera,8307964213,"$81,101","$16,407","$2,624",$0,"$150,748",Yes,Yes,"23,657","1,375","14,553","3,226","47,299","10,920","8,344","14,074","4,889","25,513",Yes,13,"3,412",0,833,17
Bastrop Public Library,"9,241",10-01-2019,09/30/2020,Bastrop,5123328880,"$585,985","$34,180","$7,762","$701,768","$751,429",Yes,Yes,"40,673","3,539","26,532","5,675","81,564","28,857","9,221","12,142","16,491","50,567",Yes,32,"3,821","29,146",504,38
Bay City Public Library,"26,346",10-01-2019,09/30/2020,Bay City,9792456931,"$267,928","$26,202","$10,790","$225,797","$491,440",Yes,Yes,"35,481",870,"18,196","1,603","59,417","27,157","12,855","15,115","4,702","29,807",Yes,17,"2,956",0,"1,832",39
Sargent Branch Library,,,,Bay City,9794761335,,,,,,,,,,,,,,,,,,,,,,79,3
Sterling Municipal Library,"77,192",10-01-2019,09/30/2020,Baytown,2814277331,"$1,926,573","$108,049","$93,000","$2,477,289","$2,513,567",Yes,Yes,"1,15,482","5,583","61,068","18,849","2,07,543","1,24,806","35,587","1,10,689","44,697","2,34,997",Yes,78,"43,240","1,41,717","2,394",44
Beaumont Public Library System,"1,16,825",10-01-2019,09/30/2020,Beaumont,4099815911,"$1,840,400","$100,005","$70,846","$2,353,600","$2,911,990",Yes,Yes,"3,01,982","13,614","13,228","3,691","3,61,799","1,83,981","89,847","1,45,669","22,302","2,76,302",Yes,54,"44,681",0,"1,463",25
Elmo R Willard Branch Library,,,,Beaumont,4098924988,,,,,,,,,,,,,,,,,,,,,,3132,52
Maurine Gray Literacy Center,,,,Beaumont,4098357924,,,,,,,,,,,,,,,,,,,,,,1463,29
RC Miller Memorial Library,,,,Beaumont,4098669487,,,,,,,,,,,,,,,,,,,,,,3132,52
Tyrrell Historical Library,,,,Beaumont,4098332749,,,,,,,,,,,,,,,,,,,,,,1463,29
Theodore Johns Branch Library,,,,Beaumont,4098425223,,,,,,,,,,,,,,,,,,,,,,3132,52
Bedford Public Library,"49,049",10-01-2019,09/30/2020,Bedford,8179522332,"$1,047,017","$88,113","$56,943","$1,568,820","$1,603,718",Yes,Yes,"79,690","2,904","22,123","7,683","1,24,765","1,06,200","35,208","1,99,545","47,010","4,19,262",Yes,60,"17,579","9,46,533","1,292",38
Joe Barnhart Bee County Library,"25,210",10-01-2019,09/30/2020,Beeville,3613624901,"$269,638","$27,033","$19,811","$85,000","$405,624",Yes,Yes,"39,347","1,572","21,343","3,455","68,174","1,13,227","17,432",-1,-1,-4,Yes,26,"7,103","13,000","2,080",44
Bellaire City Library,"18,971",10-01-2019,09/30/2020,Bellaire,7136628160,"$661,172","$50,816","$12,271","$739,571","$755,577",Yes,Yes,"79,457","2,179","52,398","20,509","1,58,200","49,552","21,268","29,523","19,206","1,08,600",Yes,20,"7,255","22,073","1,354",29
Bellville Public Library,"4,219",10-01-2019,09/30/2020,Bellville,9798653731,"$240,901","$10,668","$2,455","$274,483","$288,551",Yes,Yes,"28,986",518,"15,208","1,622","48,643","18,997","3,058","26,377","2,398","41,596",Yes,7,"2,062",0,"1,772",46
Lena Armstrong Public Library,"22,885",10-01-2019,09/30/2020,Belton,2549335830,"$266,724","$34,111","$7,452","$360,539","$373,045",Yes,Yes,"28,311","1,045","6,851",214,"37,825","31,836","7,559","22,945","2,504","54,865",Yes,13,"1,226","7,366","2,068",46
Reagan County Library,"3,849",10-01-2019,09/30/2020,Big Lake,3258842854,"$169,324","$10,849","$7,024",$0,"$233,910",Yes,Yes,"15,171",490,"15,140","1,207","33,118","8,408","2,463","2,641",55,"3,813",Yes,13,837,0,"1,729",39
Howard County Library,"36,664",10-01-2019,09/30/2020,Big Spring,4322642260,"$330,294","$26,805","$9,916",$0,"$417,721",Yes,Yes,"51,513","2,153","25,310","2,898","84,167","45,408","14,593","13,402","3,342","29,922",Yes,19,"4,781","6,707","1,278",44
Blanco County South Library District,"6,235",07-01-2019,06/30/2020,Blanco,8308334280,"$122,447","$15,119","$3,500","$245,364","$282,744",Yes,Yes,"21,566","1,037","20,550","4,853","50,457","16,334","2,721","11,183","3,192","18,774",Yes,44,"1,741","7,697","1,588",37
Patrick Heath Public Library,"26,866",10-01-2019,09/30/2020,Boerne,8302493053,"$980,194","$52,606","$26,759","$1,200,284","$1,576,848",Yes,Yes,"39,132","2,571","1,37,430","42,425","2,27,142","86,924","19,582","74,874","39,007","2,21,092",Yes,53,"5,657","40,314","2,015",41
Bonham Public Library,"10,386",01-01-2020,12/31/2020,Bonham,9035833128,"$236,595","$30,224","$13,950","$310,550","$399,173",Yes,Yes,"35,326",974,"5,03,803","91,210","6,47,950","30,120","17,799","21,012","6,941","45,743",Yes,9,"4,012","34,091","2,250",44
Hutchinson County Library,"20,938",10-01-2019,09/30/2020,Borger,8062730126,"$459,019","$32,694",$0,$0,"$549,218",Yes,Yes,"40,696","1,971","5,718","1,464","51,480","40,317","6,637","14,008","2,268","26,486",Yes,14,"2,748","8,226","1,799",41
Hutchinson County Library - Fritch,,,,Fritch,8068573752,,,,,,,,,,,,,,,,,,,,,,1434,41
Hutchinson County Library - Stinnett,,,,Stinnett,8068784013,,,,,,,,,,,,,,,,,,,,,,1435,41
Bowie Public Library,"12,488",10-01-2019,09/30/2020,Bowie,9408722681,"$173,953","$9,082","$1,000","$221,367","$224,011",Yes,Yes,"24,930",979,"9,318",518,"37,941","34,548","5,240","15,072","22,172","44,147",Yes,13,"2,406",0,"1,764",44
McCulloch County Library,"7,984",10-01-2019,09/30/2020,Brady,3255972617,"$164,536","$9,317","$2,173",$0,"$289,504",Yes,Yes,"16,197",799,"13,900","2,507","34,606","12,240","6,973","13,125","2,762","22,481",Yes,12,"1,928",0,"1,728",48
Breckenridge Library,"9,366",01-01-2020,12/31/2020,Breckenridge,2545595505,"$51,373","$5,370","$1,500","$13,900","$92,575",Yes,Yes,"26,407","1,402","14,419","2,862","45,694","3,573","3,565","2,535","1,324","4,520",Yes,8,581,0,876,38
Nancy Carol Roberts Memorial Library,"17,863",10-01-2019,09/30/2020,Brenham,9793377201,"$331,864","$36,116","$18,582","$510,321","$524,321",Yes,Yes,"42,125","1,518","20,422","5,435","72,756","63,163","30,744","34,022","10,873","67,264",Yes,28,"11,136","17,104","1,614",38
Bridgeport Public Library,"23,787",10-01-2019,09/30/2020,Bridgeport,9406833450,"$191,895","$9,638","$3,000","$214,766","$270,590",Yes,Yes,"36,273","1,744","21,413","7,683","68,562","27,432","8,193","9,837","2,178","21,477",Yes,10,"2,105",0,"1,839",45
Kendrick Memorial Library,"12,337",01-01-2020,12/31/2020,Brownfield,8066373848,"$179,559","$5,884","$3,000","$7,500","$200,485",Yes,Yes,"38,792","1,247","18,214","2,388","61,826","5,900","3,834","5,041","2,045","8,293",Yes,4,"1,083",0,"1,543",41
Brownsville Public Library,"2,58,462",10-01-2019,09/30/2020,Brownsville,9565481055,"$2,046,073","$294,793","$403,641","$3,713,360","$3,783,862",Yes,Yes,"2,45,906","2,511","32,037","17,565","3,26,138","4,34,609","1,50,238","90,169","53,495","1,80,417",Yes,289,"64,884","43,658","1,523",24
Southmost Branch Library,,,,Brownsville,9565481055,,,,,,,,,,,,,,,,,,,,,,1236,24
Brownwood Public Library,"37,864",10-01-2019,09/30/2020,Brownwood,3256460155,"$212,896","$18,454","$8,090","$239,067","$320,579",Yes,Yes,"45,500","1,783","13,700","2,077","65,158","41,424","8,674","36,094","8,937","66,539",Yes,11,"8,580","18,216","2,050",41
Brownwood Public Library Local History & Genealogy Library,,,,Brownwood,3256466006,,,,,,,,,,,,,,,,,,,,,,1254,40
Bryan+College Station Public Library System,"2,04,187",10-01-2019,09/30/2020,Bryan,9792095600,"$2,453,918","$83,117","$94,406","$2,846,215","$2,908,596",Yes,Yes,"1,65,972","7,170","16,839","9,196","2,09,635","2,30,127","43,237","1,65,791","10,214","4,26,462",Yes,49,"21,332","1,53,491","2,002",45
Carnegie History Center,,,,Bryan,9792095630,,,,,,,,,,,,,,,,,,,,,,1160,44
Clara B Mounce Public Library,,,,Bryan,9792095600,,,,,,,,,,,,,,,,,,,,,,2002,44
Larry J Ringer Public Library,,,,College Station,9797643416,,,,,,,,,,,,,,,,,,,,,,1948,44
Bullard Community Library,"3,727",01-01-2020,12/31/2020,Bullard,9038946125,"$27,542",$76,"$1,500","$11,779","$39,548",Yes,Yes,"20,691",844,"28,700","6,016","58,056","1,402","1,675","2,996","2,732","8,642",Yes,4,574,"8,010",968,33
Burkburnett Library,"11,270",10-01-2019,09/30/2020,Burkburnett,9405692991,"$102,329","$23,045","$3,000","$158,484","$158,623",Yes,Yes,"21,065","1,492","7,476",0,"31,852","19,289","10,958","17,132","20,391","69,280",Yes,10,"1,964","5,541","1,640",41
Burleson Public Library,"48,225",10-01-2019,09/30/2020,Burleson,8174269210,"$633,997","$42,107","$95,612","$1,196,168","$1,237,576",Yes,Yes,"42,547","2,647","27,843","13,998","92,187","69,215","27,484","1,10,252","52,842","2,58,297",Yes,22,"10,056","1,09,469","2,403",45
Burnet County Library System,"41,632",10-01-2019,09/30/2020,Burnet,5127155228,"$816,671","$66,170","$54,318","$8,400","$1,196,133",Yes,Yes,"79,773","11,019","23,711","15,833","1,39,509","97,676","10,048","1,08,316","32,989","2,00,595",Yes,33,"8,402","58,998","1,691",46
Bertram Free Library,,,,Bertram,5123552113,,,,,,,,,,,,,,,,,,,,,,1800,46
Oakalla Public Library,,,,Oakalla,-3,,,,,,,,,,,,,,,,,,,,,,468,46
Herman Brown Free Library,,,,Burnet,5127155228,,,,,,,,,,,,,,,,,,,,,,1691,46
Marble Falls Public Library,,,,Marble Falls,8306933023,,,,,,,,,,,,,,,,,,,,,,1766,46
Harrie P Woodson Memorial Library,"4,373",10-01-2019,09/30/2020,Caldwell,9795674111,"$92,263","$3,676",$0,"$122,345","$123,963",Yes,Yes,"19,881",216,0,0,"22,106","7,283","1,291","5,559",0,"9,069",Yes,7,"1,691",0,"2,113",43
Cameron Public Library,"5,464",10-01-2019,09/30/2020,Cameron,2546972401,"$56,182","$7,445",$0,"$85,813","$117,131",Yes,Yes,"20,863",145,0,0,"21,425","4,325","3,521","4,597",0,"5,365",Yes,5,"1,014",0,700,25
Hemphill County Library,"3,819",10-01-2019,09/30/2020,Canadian,8063235282,"$207,462","$15,321","$1,515",$0,"$276,006",Yes,Yes,"37,492","3,535","5,718","1,464","51,123","18,913","2,052","9,609","44,734","65,995",Yes,10,565,"4,086","2,078",46
Van Zandt County Library,"19,691",10-01-2019,09/30/2020,Canton,9035674276,"$115,818","$9,880","$3,000","$11,324","$144,196",Yes,Yes,"30,902","1,075","27,315","4,233","64,929","22,356","4,038","21,461",52,"32,881",Yes,6,"3,881",0,"1,504",47
Canyon Area Library,"40,711",10-01-2019,09/30/2020,Canyon,8066555015,"$262,134","$16,924","$16,917","$447,273","$523,492",Yes,Yes,"41,560","2,861","16,693","4,346","68,334","33,004","7,838","22,055","7,528","68,574",Yes,19,"4,703","10,689","2,171",46
Tye Preston Memorial Library,"30,834",07-01-2019,06/30/2020,Canyon Lake,8309643744,"$425,806","$35,959","$38,205","$1,039,297","$1,121,237",Yes,Yes,"34,486","2,140","21,248","3,335","69,216","66,883","10,404","67,593","16,140","1,14,257",Yes,31,"7,903","35,702","2,207",45
Dimmit County Public Library,"10,124",01-01-2020,12/31/2020,Carrizo Springs,8308765788,"$78,879","$14,789","$1,598","$32,384","$135,778",Yes,Yes,"26,100",341,"60,023",0,"87,099","17,900","5,099","10,236",78,"14,554",Yes,20,"5,310",0,"1,600",40
Carrollton Public Library,"1,67,447",10-01-2019,09/30/2020,Carrollton,9724664800,"$2,174,254","$240,498","$164,239","$3,075,844","$3,142,051",Yes,Yes,"1,52,445","7,821","1,33,244","41,359","3,43,936","2,05,328","96,409","1,29,077","2,22,388","5,58,225",Yes,90,"28,635","2,99,682","2,101",45
Carrollton Public Library @ Hebron and Josey,,,,Carrollton,9724664800,,,,,,,,,,,,,,,,,,,,,,2124,45
Sammy Brown Library,"23,194",01-01-2020,12/31/2020,Carthage,9036936741,"$374,331","$21,801","$3,500","$209,525","$631,414",Yes,Yes,"34,798","2,034","21,778","5,833","68,111","35,324","10,181","35,859","6,586","50,346",Yes,6,"15,900","3,353","2,264",46
Castroville Public Library,"3,119",10-01-2019,09/30/2020,Castroville,8309314095,"$107,933","$11,155","$2,500","$165,130","$165,130",Yes,Yes,"14,222",794,"7,000","3,000","27,693","12,573","2,000","5,499","3,000","14,957",Yes,14,"2,686",0,955,27
Cedar Park Public Library,"79,462",10-01-2019,09/30/2020,Cedar Park,5124015600,"$1,243,022","$128,491","$143,523","$1,862,157","$1,915,153",Yes,Yes,"1,18,768","8,313","33,155","19,934","1,91,306","1,60,647","26,501","2,02,577","74,182","6,31,846",Yes,41,"15,704","1,07,134","2,499",43
Fannie Brown Booth Memorial Library,"5,175",10-01-2019,09/30/2020,Center,9365985522,"$48,966","$12,013","$1,788","$54,000","$90,320",Yes,Yes,"13,337",677,"18,196","1,603","35,005","5,150","4,632","3,401","2,496","8,512",Yes,7,"2,290",0,788,37
Chico Public Library Inc,"4,208",10-01-2019,09/30/2020,Chico,9406442330,"$44,238","$2,427","$1,500","$10,500","$60,770",Yes,Yes,"10,358",469,"10,211",578,"23,879","8,293","2,392","4,251","22,172","30,028",Yes,7,"1,690","3,286",788,29
Childress Public Library,"7,306",10-01-2019,09/30/2020,Childress,9409378421,"$59,807","$5,000",$0,$0,"$80,107",Yes,Yes,"18,939",717,"5,718","1,464","27,679","7,845","1,922","4,565","3,195","12,888",Yes,4,"3,342",0,"1,825",50
Cisco Public Library,"6,527",01-01-2020,12/31/2020,Cisco,2544421020,"$3,957",$400,$0,$0,"$11,379",No,Yes,"16,045",0,0,0,"16,045",0,0,10,0,68,Yes,1,137,0,480,44
Burton Memorial Library,"3,278",10-01-2019,09/30/2020,Clarendon,8068743685,"$59,365","$8,900",$0,"$43,000","$77,844",Yes,Yes,"26,236",557,"5,718","1,464","36,224","50,222","1,257","8,900",125,"9,881",Yes,6,"9,044",0,"1,696",44
Red River County Public Library,"12,023",10-01-2019,09/30/2020,Clarksville,9034273991,"$47,151","$12,295","$3,000","$1,500","$76,142",Yes,Yes,"27,032",918,"2,439",681,"32,316","7,122","5,893","10,015","2,405","14,644",Yes,8,670,"3,009","1,110",37
Cleburne Public Library,"31,295",10-01-2019,09/30/2020,Cleburne,8176450934,"$460,920","$23,824","$10,652","$634,392","$668,904",Yes,Yes,"47,467","12,278","21,550","7,686","94,311","66,000","14,184","42,856","17,364","86,477",Yes,28,"10,000",0,"1,816",42
Austin Memorial Library,"8,234",10-01-2019,09/30/2020,Cleveland,2815923920,"$273,309","$30,137","$16,793","$449,243","$461,363",Yes,Yes,"39,226","1,657","12,342","11,545","68,475","7,586","9,717","10,401","2,579","20,624",Yes,20,"4,275",0,"1,233",24
Nellie Pederson Civic Library,"3,446",10-01-2019,09/30/2020,Clifton,2546756495,"$68,254","$10,339","$1,258","$93,491","$98,512",Yes,Yes,"11,347",577,"1,198",138,"14,105","7,517","1,209","8,557","1,570","12,776",Yes,10,"1,172",0,774,25
Clyde Public Library,"11,084",10-01-2019,09/30/2020,Clyde,3258935315,"$77,399","$8,817",$807,"$102,188","$105,379",Yes,Yes,"16,037",543,"8,611","2,077","30,102","5,385","5,210","5,393","2,184","9,419",Yes,10,"1,006",0,"1,312",41
Coleman Public Library,"8,175",10-01-2019,09/30/2020,Coleman,3256253043,"$91,811","$9,277","$2,094","$135,166","$147,285",Yes,Yes,"28,935","1,085","14,906","2,632","49,678","20,629","9,427","14,378","40,699","57,214",Yes,30,"9,000",0,"1,364",44
