Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,25,070",10-01-2021,09/30/2022,Abilene,3256772474,"$18,40,905","$2,18,042","$2,42,701","$29,95,486","$30,27,227",Y,Y,"1,44,879","7,300","31,523","44,155","2,54,283","3,25,686","45,652","1,64,024","1,37,885","5,00,004",Y,70,"28,426","1,45,743","3,151",52
Sergeant Fernando de la Rosa Memorial Library,"30,755",10-01-2021,09/30/2022,Alamo,9567876160,"$2,47,579","$7,000","$1,000","$2,92,583","$3,00,583",Y,Y,"28,150",1,"90,406","50,310","1,69,828","18,250","32,768","2,153","1,117","5,755",Y,22,"7,025",0,"1,305",29
Shackelford County Library,"3,212",01-01-2022,12/31/2022,Albany,3257622672,"$16,959","$1,009","$1,500",$0,"$21,195",Y,Y,"11,363",661,"42,432","1,881","57,457","2,419","1,106",733,711,"2,193",Y,9,308,0,"1,532",51
East Parker County Library,"18,532",10-01-2021,09/30/2022,Aledo,8174416545,"$50,740","$2,315","$3,561","$42,500","$1,83,623",Y,Y,"23,112","1,070","18,133","10,685","55,627","23,567","6,870","17,210","4,550","55,713",Y,6,600,0,"1,750",50
Alicia Salinas Public Library,"24,133",10-01-2021,09/30/2022,Alice,3616649506,"$5,72,221","$50,782",$0,"$3,29,858","$5,37,022",Y,Y,"66,951",813,"14,292",126,"84,579","15,696","12,012","7,940",9,"14,021",Y,26,"3,420",0,"1,780",47
Allen Public Library,"1,06,874",10-01-2021,09/30/2022,Allen,2145094900,"$27,33,045","$1,86,682","$1,15,165","$34,02,489","$34,49,928",Y,Y,"1,24,106","5,771","6,971","2,936","1,53,488","2,76,468","45,496","3,28,578","78,076","12,92,223",Y,18,"11,132","1,65,851","3,158",52
Alpine Public Library,"8,052",01-01-2022,12/31/2022,Alpine,4328372621,"$1,70,364","$12,691",$206,"$40,000","$2,92,734",Y,Y,"23,782",861,"14,292",0,"41,029","32,074","3,155","28,674",158,"33,142",Y,12,"3,464","1,05,191","1,958",49
Alvarado Public Library,"5,111",10-01-2021,09/30/2022,Alvarado,8177837323,"$1,07,168",$466,"$1,500","$1,50,025","$1,55,494",Y,Y,"23,114","1,205","9,725",750,"39,363","13,779","2,519","6,990",248,"15,574",Y,7,"1,215",0,"2,000",52
Alvord Public Library,"6,040",10-01-2021,09/30/2022,Alvord,9404272842,"$18,383","$3,144","$1,000","$17,077","$84,864",Y,Y,"12,201",575,"10,581",985,"25,745","1,617","2,680",588,230,"1,959",Y,4,312,924,"1,285",49
Amarillo Public Library,"2,01,234",10-01-2021,09/30/2022,Amarillo,8063783050,"$31,87,956","$2,06,083","$71,104","$40,22,943","$40,86,662",Y,Y,"2,91,589","14,872","21,030","2,293","3,61,991","5,12,260","80,420","10,08,928","13,171","17,28,022",Y,64,"25,672","2,23,772","3,560",52
Chambers County Library System,"44,031",01-01-2022,12/31/2022,Anahuac,4092672550,"$11,43,863","$43,008","$42,924","$1,000","$13,24,817",Y,Y,"88,087","2,633","8,23,935","5,46,096","14,91,584","67,167","16,733","34,926","17,640","1,09,866",Y,57,"5,960","72,990","2,515",52
