Library Name,Legal Service Area (Population Assignment),Start of Local Fiscal Year (LFY),End of Local Fiscal Year (LFY),Mail City,Library Phone,Total Staff Expenditures,Print Material Expenditures,Electronic Material Expenditures,City/Library District Capital Revenue,Total Capital Revenue,Electronically Searchable  Catalog,1% of Collection Published in Last Five Years?,Books in Print,Physical Audio Items,E-books,E-Audio,Total Collection Items,Annual Library Visits,Registered Library Users,Annual Circulation: All Other Ages Physical Items,Annual Circulation: All Other Ages Digital Items,Total Annual Circulation,Public Internet Computers Available,Number of Public Internet Computers,Annual Number of Computer Uses,Annual Website Visits,Annual Number of Public Service Hours,Annual Number Public Service Weeks
Abilene Public Library,"1,22,999",10-01-2018,9/30/2019,Abilene,3256772474,"$17,98,855","$2,21,068","$2,10,057","$8,096","$8,096",Yes,Yes,"1,96,696","10,341","30,161","20,684","2,87,115","5,54,425","48,753","3,14,075","2,12,509","8,38,375",Yes,70,"81,043","2,44,312","3,150",52
Abilene Public Library South Branch,,,,Abilene,3256987565,,,,,,,,,,,,,,,,,,,,,,"3,101",52
Abilene Public Library Mockingbird Branch,,,,Abilene,3254377323,,,,,,,,,,,,,,,,,,,,,,"3,153",52
Sergeant Fernando de la Rosa Memorial Library,"30,091",10-01-2018,9/30/2019,Alamo,9567876160,"$2,09,966","$10,000",$55,$0,$0,Yes,Yes,"27,444",1,"75,230","28,180","1,31,766","66,053","32,797","5,469","1,117","15,106",Yes,22,"13,728","2,010","2,859",52
Shackelford County Library,"3,253",01-01-2019,12/31/2019,Albany,3257622672,"$13,898","$1,779","$1,500",$0,$0,Yes,Yes,"9,565",648,"7,368","1,937","20,417","4,745","1,008","2,897",180,"3,831",Yes,11,"2,390",0,"1,479",51
Alicia Salinas Public Library,"39,915",10-01-2018,9/30/2019,Alice,3616649506,"$3,58,647","$71,515",$0,$0,$0,Yes,Yes,"45,711","1,843",187,0,"49,544","22,574","14,571","3,913",0,"42,672",Yes,15,"5,154",0,"2,157",52
Orange Grove School/Public Library,,,,Orange Grove,3613842330,,,,,,,,,,,,,,,,,,,,,,"1,600",48
Premont Public Library,,,,Premont,3613483815,,,,,,,,,,,,,,,,,,,,,,"1,091",50
Allen Public Library,"1,03,383",10-01-2018,9/30/2019,Allen,2145094900,"$25,68,183","$2,14,226","$71,827",$0,$0,Yes,Yes,"1,21,462","7,148","5,701","1,694","1,54,221","4,20,635","52,039","4,48,572","56,127","14,66,428",Yes,22,"24,165",0,"3,188",52
Alpine Public Library,"8,129",01-01-2019,12/31/2019,Alpine,4328372621,"$1,60,129","$9,652",$0,$0,"$84,130",Yes,Yes,"20,856",752,0,0,"23,528","45,896","9,530","75,381",0,"83,747",Yes,15,"11,696","1,03,300","2,115",51
Amarillo Public Library,"1,99,924",10-01-2018,9/30/2019,Amarillo,8063783050,"$31,14,430","$2,67,629","$85,697",$0,$0,Yes,Yes,"3,50,098","18,751","5,544","1,389","4,28,973","12,13,394","71,506","9,62,187","25,684","15,11,726",Yes,91,"60,220","2,88,674","3,457",52
Northwest Branch Library,,,,Fort Worth,8173925420,,,,,,,,,,,,,,,,,,,,,,"3,226",52
Southwest Branch Library,,,,Arlington,8174596386,,,,,,,,,,,,,,,,,,,,,,"3,533",52
North Branch Library,,,,Amarillo,8063817931,,,,,,,,,,,,,,,,,,,,,,"3,226",52
East Branch Library,,,,Irving,9727213722,,,,,,,,,,,,,,,,,,,,,,"3,226",52
Chambers County Library System,"38,309",01-01-2019,12/31/2019,Anahuac,4092672550,"$12,33,010","$39,649","$29,197",$0,$0,Yes,Yes,"95,730","2,257","7,04,901","3,68,834","11,93,420","1,04,619","14,849","1,31,138","9,870","1,84,398",Yes,49,"14,136","53,327","2,964",52
Chambers County Library,,,,Anahuac,4092672554,,,,,,,,,,,,,,,,,,,,,,"2,369",52
Sam and Carmena Goss Memorial Branch Library,,,,Mont Belvieu,2815762245,,,,,,,,,,,,,,,,,,,,,,"2,571",52
Juanita Hargraves Memorial Branch Library,,,,Winnie,4092968245,,,,,,,,,,,,,,,,,,,,,,"2,366",52
Andrews County Library,"18,128",10-01-2018,9/30/2019,Andrews,4325239819,"$5,25,684","$24,262","$5,875",$0,"$84,410",Yes,Yes,"53,544","4,039","11,887","1,603","73,371","56,348","7,968","13,276","2,293","45,212",Yes,28,"7,082",0,"2,529",52
Brazoria County Library System,"3,70,200",10-01-2018,9/30/2019,Angleton,9798641505,"$58,49,940","$6,71,807","$4,66,119","$46,058","$88,456",Yes,Yes,"4,07,250","19,078","3,80,562","92,257","10,16,143","7,44,822","1,30,397","8,14,488","1,53,405","17,47,809",Yes,177,"1,05,573","5,42,651",0,0
Alvin Library,,,,Alvin,2813884300,,,,,,,,,,,,,,,,,,,,,,"2,485",52
Angleton Library,,,,Angleton,9798641519,,,,,,,,,,,,,,,,,,,,,,"2,817",52
Brazoria Library,,,,Brazoria,9797982372,,,,,,,,,,,,,,,,,,,,,,"2,478",52
Clute Library,,,,Clute,9792654582,,,,,,,,,,,,,,,,,,,,,,"1,634",44
Freeport Library,,,,Freeport,9792333622,,,,,,,,,,,,,,,,,,,,,,"2,091",52
Lake Jackson Library,,,,Lake Jackson,9794152590,,,,,,,,,,,,,,,,,,,,,,"2,562",52
Manvel Library,,,,Manvel,2814897596,,,,,,,,,,,,,,,,,,,,,,"2,493",52
Pearland Library,,,,Pearland,2814854876,,,,,,,,,,,,,,,,,,,,,,"2,728",52
Sweeny Library,,,,Sweeny,9795482567,,,,,,,,,,,,,,,,,,,,,,"2,135",52
